CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT
04104147,4/16/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,KNIFE,9/13/2013 8:00:19 AM,1500 - 1599 BLOCK OF 1ST STREET SW,398943,133729,6,6D,FIRST,105,9
05047867,6/5/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,KNIFE,9/13/2013 8:00:21 AM,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769,144596,4,4B,FOURTH,402,17
07083463,7/8/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,9/13/2013 8:00:19 AM,1800 - 1810 BLOCK OF COLUMBIA ROAD NW,396275,139402,1,1C,THIRD,303,1,ADAMS MORGAN
09172197,4/8/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,9/13/2013 8:00:19 AM,2322 - 2499 BLOCK OF ONTARIO ROAD NW,396518,139335,1,1C,THIRD,303,1
09251354,2/27/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,9/13/2013 8:00:20 AM,2500 - 2698 BLOCK OF VIRGINIA AVENUE NW,395232,136881,2,2A,SECOND,207,5
10028985,2/27/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,9/13/2013 8:00:21 AM,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.3161279560,138824.53084626,5,5C,FIFTH,505,22
10124918,4/9/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,9/13/2013 8:00:20 AM,1 - 99 BLOCK OF DC VILLAGE LANE SW,398794,127300,8,8D,SEVENTH,708,
11010107,7/31/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,OTHERS,9/13/2013 8:00:21 AM,3000 - 3099 BLOCK OF 7TH STREET NE,400331,140004,5,5E,FIFTH,502,21
11045512,1/31/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,9/13/2013 8:00:20 AM,400 - 499 BLOCK OF BURBANK STREET SE,404939,135095,7,7F,SIXTH,603,33
12003591,1/9/2013 12:59:00 AM,MIDNIGHT,THEFT/OTHER,OTHERS,9/13/2013 8:00:20 AM,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,FIFTH,505,22
